vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9165188,SEGERO,South Korea,Other,BRIDGE LAKE,CANADA,07/24/2025,MUKHO/DONGHAE,KOREA REPUBLIC OF,,BRIDGE LAKE,CANADA,
9324502,WHITE ROSE,South Korea,Cargo,NEPTUNE,CANADA,08/26/2025,KWANGYANG,KOREA REPUBLIC OF,,NEPTUNE,CANADA,
9347619,HYUNDAI SUPREME,Marshall Islands,Cargo,VANCOUVER,CANADA,08/17/2025,BUSAN,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9395939,SM QINGDAO,South Korea,Cargo,VANCOUVER,CANADA,08/18/2025,BUSAN,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9444247,PAN FREESIA,Panama,Cargo,VANCOUVER,CANADA,08/11/2025,KWANGYANG,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9454333,FSUN,Marshall Islands,Cargo,ROBERT''S BANK,CANADA,08/19/2025,SAMCHEONPO/SACHEON,KOREA REPUBLIC OF,,ROBERT''S BANK,CANADA,
9456953,SM SEOUL,South Korea,Cargo,VANCOUVER,CANADA,08/11/2025,BUSAN,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9463085,HMM VANCOUVER,South Korea,Cargo,VANCOUVER,CANADA,08/24/2025,BUSAN,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9468748,PAN JOY,Panama,Cargo,PORT-CARTIER,CANADA,08/09/2025,MUNDRA,INDIA,,PORT-CARTIER,CANADA,
9473913,SONGA OPAL,Malta,Tanker,NEW WESTMINSTER,CANADA,08/22/2025,TANGIER,MOROCCO,,NEW WESTMINSTER,CANADA,
9534640,GLOBAL TRUST,South Korea,Cargo,VANCOUVER,CANADA,08/04/2025,,,,VANCOUVER,CANADA,
9625839,PAN UNITY,Panama,Cargo,VANCOUVER,CANADA,08/29/2025,GUNSAN,KOREA REPUBLIC OF,,VANCOUVER,CANADA,
9710658,GLOVIS DAYLIGHT,South Korea,Cargo,RICHIBUCTO,CANADA,08/25/2025,TAEAN,KOREA REPUBLIC OF,,RICHIBUCTO,CANADA,
9717761,SEAWAYS WARWICK,Marshall Islands,Tanker,VANCOUVER,CANADA,08/17/2025,LOS ANGELES,UNITED STATES (USA),,VANCOUVER,CANADA,
9937969,PUTERI SEJINJANG,Marshall Islands,Tanker,KITIMAT,CANADA,08/23/2025,NAGOYA AICHI,JAPAN,,KITIMAT,CANADA,
9986104,AL GALAYEL,Liberia,Tanker,MIDDLE POINT,CANADA,08/23/2025,,,,MIDDLE POINT,CANADA,
