vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
1051410,FORTUNE KNIGHT,Marshall Islands,Cargo,GENT (GHENT),BELGIUM,08/07/2025,DUNKERQUE,FRANCE,,GENT (GHENT),BELGIUM,
9171541,TAMREY S,Turkey,Cargo,AMSTERDAM,NETHERLANDS,08/26/2025,SULINA (PORT ET ZONE FRANCHE),ROMANIA,,AMSTERDAM,NETHERLANDS,
9311256,YC PANSY,South Korea,Tanker,GENT (GHENT),BELGIUM,08/12/2025,,,,GENT (GHENT),BELGIUM,
9315032,BALTIC SHARK,Antigua and Barbuda,Cargo,ROTTERDAM,NETHERLANDS,08/14/2025,SAINT PETERSBURG (EX LENINGRAD),RUSSIAN FEDERATION (RUSSIA),,ROTTERDAM,NETHERLANDS,
9373632,SONGA AURORA,Madeira,Tanker,AMSTERDAM,NETHERLANDS,08/09/2025,AVEIRO,PORTUGAL,,AMSTERDAM,NETHERLANDS,
9373644,SONGA TAURUS,Madeira,Tanker,ANTWERPEN,BELGIUM,08/12/2025,MONGSTAD,NORWAY,,ANTWERPEN,BELGIUM,
9383106,MORNING LINDA,Panama,Cargo,ZEEBRUGGE,BELGIUM,08/13/2025,ZEEBRUGGE,BELGIUM,,ZEEBRUGGE,BELGIUM,
9385001,HMM TACOMA,South Korea,Cargo,ROTTERDAM,NETHERLANDS,08/23/2025,SOUTHAMPTON,UNITED KINGDOM (UK),,ROTTERDAM,NETHERLANDS,
9396012,SONGA FALCON,Madeira,Tanker,ROTTERDAM,NETHERLANDS,08/14/2025,GIBRALTAR,GIBRALTAR,,ROTTERDAM,NETHERLANDS,
9414759,ETHRA 1,Marshall Islands,Cargo,EVERINGEN,NETHERLANDS,08/15/2025,,,,EVERINGEN,NETHERLANDS,
9447328,SONGA ATLANTIC,Malta,Tanker,NIEUWPOORT,BELGIUM,08/10/2025,NIEUWPOORT,BELGIUM,,NIEUWPOORT,BELGIUM,
9460899,GLOVIS COMPANION,Liberia,Cargo,ANTWERPEN,BELGIUM,08/12/2025,TILBURY,UNITED KINGDOM (UK),,ANTWERPEN,BELGIUM,
9550321,SAFI FORTUNE,Marshall Islands,Cargo,OOSTENDE (OSTEND),BELGIUM,08/10/2025,SAINT PETERSBURG (EX LENINGRAD),RUSSIAN FEDERATION (RUSSIA),,OOSTENDE (OSTEND),BELGIUM,
9629677,CAPE BYRON,Malta,Cargo,ROTTERDAM,NETHERLANDS,09/04/2025,NECOCHEA,ARGENTINA,,ROTTERDAM,NETHERLANDS,
9637222,HMM DREAM,South Korea,Cargo,ROTTERDAM,NETHERLANDS,09/02/2025,SINGAPORE,SINGAPORE,,ROTTERDAM,NETHERLANDS,
9712955,OCEAN PERA,Malta,Cargo,ROTTERDAM,NETHERLANDS,08/20/2025,BUCHANAN,LIBERIA,,ROTTERDAM,NETHERLANDS,
9718416,SILVER EBURNA,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/10/2025,ROTTERDAM,NETHERLANDS,,ROTTERDAM,NETHERLANDS,
9721504,POLAR ACE,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/13/2025,CHERBOURG-EN-COTENTIN,FRANCE,,ROTTERDAM,NETHERLANDS,
9732802,CHEMTRANS MOBILE,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/11/2025,ROTTERDAM,NETHERLANDS,,ROTTERDAM,NETHERLANDS,
9772058,PACIFIC DEBBIE,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/25/2025,SHELL HAVEN,UNITED KINGDOM (UK),,ROTTERDAM,NETHERLANDS,
9785603,FARAH LOUISE,Panama,Cargo,GENT (GHENT),BELGIUM,08/09/2025,GENT (GHENT),BELGIUM,,GENT (GHENT),BELGIUM,
9789269,ATLANTIC GUARD,Marshall Islands,Tanker,GENT (GHENT),BELGIUM,08/12/2025,LA PALLICE,FRANCE,,GENT (GHENT),BELGIUM,
9853228,NAVIG8 GAUNTLET,Singapore,Tanker,ANTWERPEN,BELGIUM,08/12/2025,LAS PALMAS DE GRAN CANARIA,SPAIN,,ANTWERPEN,BELGIUM,
9863338,HMM HAMBURG,South Korea,Cargo,ROTTERDAM,NETHERLANDS,08/08/2025,HAMBURG,GERMANY,,ROTTERDAM,NETHERLANDS,
9868352,HMM STOCKHOLM,South Korea,Cargo,ROTTERDAM,NETHERLANDS,08/15/2025,ALGECIRAS,SPAIN,,ROTTERDAM,NETHERLANDS,
9893058,PACIFIC SAPPHIRE,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/01/2025,GOTEBORG,SWEDEN,,ROTTERDAM,NETHERLANDS,
9893084,PACIFIC GARNET,Marshall Islands,Tanker,ROTTERDAM,NETHERLANDS,08/28/2025,HOUSTON,UNITED STATES (USA),,ROTTERDAM,NETHERLANDS,
9901362,KLOTUS,Panama,Tanker,ROTTERDAM,NETHERLANDS,08/14/2025,SCHEVENINGEN,NETHERLANDS,,ROTTERDAM,NETHERLANDS,
9911549,SAVONETTA SUN,Panama,Tanker,ANTWERPEN,BELGIUM,08/27/2025,GEISMAR,UNITED STATES (USA),,ANTWERPEN,BELGIUM,
