IMO No,Class No,Ship Name,MoU,Ship Risk Profile,Inspection Selection Scheme,Last Periodical Survey,Update Date
1062366,2400095,ZENITH ACE,USCG,PSC B,Priority I,2025-06-26,2025-09-15
1062366,2400095,ZENITH ACE,Paris,Standard,Priority I,2025-06-26,2025-09-15
1062366,2400095,ZENITH ACE,Tokyo,Standard,No Priority,2025-06-26,2025-09-15
7420089,8200001,VIET DRAGON 68,USCG,PSC B,Priority I,2025-08-02,2025-09-15
7420089,8200001,VIET DRAGON 68,Paris,Standard,Priority I,2025-08-02,2025-09-15
7420089,8200001,VIET DRAGON 68,Tokyo,High,Priority I,2025-08-02,2025-09-15
8204121,8244083,SANWA FONTAINE,USCG,PSC B,Priority I,2025-08-01,2025-09-15
8204121,8244083,SANWA FONTAINE,Paris,Standard,Priority I,2025-08-01,2025-09-15
8204121,8244083,SANWA FONTAINE,Tokyo,Standard,No Priority,2025-08-01,2025-09-15
8513871,8650534,SUN FLOWER 7,USCG,PSC B,Priority I,2025-05-23,2025-09-15
8513871,8650534,SUN FLOWER 7,Paris,Standard,Priority I,2025-05-23,2025-09-15
8513871,8650534,SUN FLOWER 7,Tokyo,Low,No Priority,2025-05-23,2025-09-15
8603121,8650545,SALTLAKE,USCG,PSC B,Priority I,2025-05-15,2025-09-15
8603121,8650545,SALTLAKE,Paris,Standard,Priority I,2025-05-15,2025-09-15
8603121,8650545,SALTLAKE,Tokyo,Standard,No Priority,2025-05-15,2025-09-15
8807430,8800001,SEIN QUEEN,USCG,PSC B,Priority I,2025-05-07,2025-09-15
8807430,8800001,SEIN QUEEN,Paris,Standard,Priority I,2025-05-07,2025-09-15
8807430,8800001,SEIN QUEEN,Tokyo,Standard,No Priority,2025-05-07,2025-09-15
8808161,8859726,SEI SHIN,USCG,PSC B,Priority I,2025-09-12,2025-09-15
8808161,8859726,SEI SHIN,Paris,Standard,Priority I,2025-09-12,2025-09-15
8808161,8859726,SEI SHIN,Tokyo,Standard,Priority I,2025-09-12,2025-09-15
8813087,9000011,CLAUDIA GAS,USCG,PSC B,Priority I,2025-07-04,2025-09-15
8813087,9000011,CLAUDIA GAS,Paris,Standard,Priority I,2025-07-04,2025-09-15
8813087,9000011,CLAUDIA GAS,Tokyo,Standard,Priority I,2025-07-04,2025-09-15
8813099,9100007,EUGENIA GAS,USCG,PSC B,Priority I,2025-04-07,2025-09-15
8813099,9100007,EUGENIA GAS,Paris,Standard,Priority I,2025-04-07,2025-09-15
8813099,9100007,EUGENIA GAS,Tokyo,Standard,Priority I,2025-04-07,2025-09-15
8813116,9100010,EFTYXIA GAS,USCG,PSC B,Priority I,2025-04-08,2025-09-15
8813116,9100010,EFTYXIA GAS,Paris,Standard,Priority I,2025-04-08,2025-09-15
8813116,9100010,EFTYXIA GAS,Tokyo,Standard,Priority I,2025-04-08,2025-09-15
8813623,8900001,SEIN SKY,USCG,PSC B,Priority I,2025-05-07,2025-09-15
8813623,8900001,SEIN SKY,Paris,Standard,Priority I,2025-05-07,2025-09-15
8813623,8900001,SEIN SKY,Tokyo,Standard,Priority II,2025-05-07,2025-09-15
8875968,9443158,105 HYODONG CHEMI,USCG,PSC B,Priority I,2022-03-15,2025-09-15
8875968,9443158,105 HYODONG CHEMI,Paris,Standard,Priority I,2022-03-15,2025-09-15
8875968,9443158,105 HYODONG CHEMI,Tokyo,Standard,Priority I,2022-03-15,2025-09-15
8904941,8900010,DHARA,USCG,PSC B,No Priority,2025-09-01,2025-09-15
8904941,8900010,DHARA,Paris,Standard,Priority I,2025-09-01,2025-09-15
8904941,8900010,DHARA,Tokyo,Standard,Priority II,2025-09-01,2025-09-15
8906808,9000010,SEIN VENUS,USCG,PSC B,Priority I,2025-07-31,2025-09-15
8906808,9000010,SEIN VENUS,Paris,Standard,Priority I,2025-07-31,2025-09-15
8906808,9000010,SEIN VENUS,Tokyo,Standard,Priority II,2025-07-31,2025-09-15
8911607,8943993,MONONOK,USCG,PSC B,Priority I,2025-07-26,2025-09-15
8911607,8943993,MONONOK,Paris,Standard,Priority I,2025-07-26,2025-09-15
8911607,8943993,MONONOK,Tokyo,Standard,Priority II,2025-07-26,2025-09-15
8911619,9037518,NO.1 BARON,USCG,PSC B,No Priority,2025-03-18,2025-09-15
8911619,9037518,NO.1 BARON,Paris,Standard,Priority I,2025-03-18,2025-09-15
8911619,9037518,NO.1 BARON,Tokyo,Standard,No Priority,2025-03-18,2025-09-15
8934051,9758306,JIAHONG,USCG,PSC B,Priority I,2025-02-21,2025-09-15
8934051,9758306,JIAHONG,Paris,Standard,Priority I,2025-02-21,2025-09-15
8934051,9758306,JIAHONG,Tokyo,High,No Priority,2025-02-21,2025-09-15
8944111,9800017,ASAKA,USCG,PSC B,Priority I,2024-11-07,2025-09-15
8944111,9800017,ASAKA,Paris,Standard,Priority I,2024-11-07,2025-09-15
8944111,9800017,ASAKA,Tokyo,High,Priority II,2024-11-07,2025-09-15
9004401,9100012,LAKE PEARL,USCG,PSC B,Priority I,2025-05-26,2025-09-15
9004401,9100012,LAKE PEARL,Paris,Standard,Priority I,2025-05-26,2025-09-15
9004401,9100012,LAKE PEARL,Tokyo,Standard,No Priority,2025-05-26,2025-09-15
9004657,9000008,LAKE CASTLE,USCG,PSC B,Priority I,2025-06-25,2025-09-15
9004657,9000008,LAKE CASTLE,Paris,Standard,Priority I,2025-06-25,2025-09-15
9004657,9000008,LAKE CASTLE,Tokyo,Standard,No Priority,2025-06-25,2025-09-15
9009669,9200002,LAKE NOVA,USCG,PSC B,Priority I,2025-07-02,2025-09-15
9009669,9200002,LAKE NOVA,Paris,Standard,Priority I,2025-07-02,2025-09-15
9009669,9200002,LAKE NOVA,Tokyo,Standard,No Priority,2025-07-02,2025-09-15
9011583,9140574,ONNURI,USCG,PSC B,Priority I,2025-04-17,2025-09-15
9011583,9140574,ONNURI,Paris,Standard,Priority I,2025-04-17,2025-09-15
9011583,9140574,ONNURI,Tokyo,Standard,Priority I,2025-04-17,2025-09-15
9015840,9156107,CHERRY STAR,USCG,PSC B,Priority I,2025-09-03,2025-09-15
9015840,9156107,CHERRY STAR,Paris,Standard,Priority I,2025-09-03,2025-09-15
9015840,9156107,CHERRY STAR,Tokyo,Standard,Priority II,2025-09-03,2025-09-15
9016090,9161259,AZZA H,USCG,PSC B,Priority I,2024-11-12,2025-09-15
9016090,9161259,AZZA H,Paris,Standard,No Priority,2024-11-12,2025-09-15
9016090,9161259,AZZA H,Tokyo,Standard,Priority I,2024-11-12,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,USCG,PSC B,Priority I,2025-07-11,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,Paris,Standard,Priority I,2025-07-11,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,Tokyo,Standard,Priority I,2025-07-11,2025-09-15
